Id,year,brand,price,distance_travelled(kms),fuel_type,new_and_less_used
366,2020,BMW,12100000,12000,Petrol,1
367,2020,Jeep,2400000,17000,Diesel,1
368,2019,Ford,3000000,40000,Diesel,0
369,2018,BMW,2900000,32000,Diesel,0
370,2015,Audi,1975000,75000,Diesel,0
371,2019,Hyundai,1475000,10000,Petrol,1
372,2018,Honda,695000,32000,Petrol,0
373,2014,Audi,1465000,75000,Diesel,0
374,2017,Mahindra,1275000,70000,Diesel,0
375,2012,Mercedes-Benz,1260000,54000,Petrol,0
376,2018,Land Rover,14700000,25000,Diesel,1
377,2018,Toyota,14500000,90000,Diesel,0
378,2020,Mercedes-Benz,5800000,12000,Diesel,1
379,2019,Ford,7100000,7000,Petrol,1
380,2019,Lexus,5200000,30000,Petrol,1
381,2019,Audi,7300000,9000,Diesel,1
382,2021,Mahindra,1811000,490,Petrol,1
383,2017,Lexus,3790000,16000,Petrol,1
384,2015,Audi,2150000,14000,Diesel,0
385,2008,BMW,485000,64000,Petrol,0
386,2020,Mercedes-Benz,8400000,14800,Diesel,1
387,2014,Maruti Suzuki,550000,98500,Diesel,0
388,2018,Mercedes-Benz,2850000,55000,Diesel,0
389,2019,Maruti Suzuki,875000,15500,Diesel,1
390,2014,Hyundai,550000,115000,Diesel,0
391,2013,Audi,1600000,74000,Diesel,0
392,2014,Audi,2800000,54500,Diesel,0
393,2015,BMW,2350000,77000,Diesel,0
394,2013,Audi,1450000,63700,Diesel,0
395,2013,Audi,1650000,64000,Diesel,0
396,2018,Audi,2800000,43000,Diesel,0
397,2019,Toyota,2675000,85000,Diesel,0
398,2019,Ford,950000,6372,Petrol,1
399,2011,Toyota,365000,35000,Petrol,0
400,2019,Volkswagen,495000,38000,Petrol,0
401,2015,Maruti Suzuki,449000,67800,Petrol,0
402,2017,Maruti Suzuki,745000,67000,Diesel,0
403,2017,Toyota,1571000,73009,Petrol,0
404,2017,BMW,2575000,60000,Diesel,0
405,2019,Land Rover,12300000,17000,Diesel,1
406,2018,Toyota,3075000,25000,Petrol,1
407,2018,BMW,3950000,55000,Diesel,0
408,2016,Honda,800000,38000,Petrol,0
409,2019,Audi,2550000,15000,Petrol,1
